Country,Primary,Secondary,Tertiary,Region 
Australia,5.9,48.5,15.3,Advanced Economies
Austria,32.3,29.6,4.1,Advanced Economies
Belgium,17.0,29.2,12.3,Advanced Economies
Canada,4.9,29.9,9.9,Advanced Economies
Denmark,21.0,28.8,9.4,Advanced Economies
Finland,34.4,17.2,8.1,Advanced Economies
France,24.1,25.6,6.0,Advanced Economies
Germany,28.4,27.4,6.2,Advanced Economies
Greece,31.6,28.1,11.3,Advanced Economies
Iceland,32.7,24.3,8.3,Advanced Economies
Ireland,18.2,26.0,14.6,Advanced Economies
Italy,29.4,22.4,4.1,Advanced Economies
Japan,18.4,35.4,11.8,Advanced Economies
Luxembourg,31.0,22.3,6.5,Advanced Economies
Netherlands,16.9,33.4,9.3,Advanced Economies
New Zealand,25.3,21.0,19.3,Advanced Economies
Norway,28.8,26.8,7.4,Advanced Economies
Portugal,41.3,13.4,3.2,Advanced Economies
Spain,19.6,11.7,7.3,Advanced Economies
Sweden,10.5,47.7,11.6,Advanced Economies
Switzerland,23.3,31.6,5.8,Advanced Economies
Turkey,39.8,7.0,3.5,Advanced Economies
USA,1.8,38.3,18.6,Advanced Economies
United Kingdom,27.1,6.9,9.5,Advanced Economies
Brunei Darussalam,13.3,25.9,3.7,East Asia and the Pacific
Cambodia,10.5,1.3,0.1,East Asia and the Pacific
China,19.8,22.4,1.4,East Asia and the Pacific
China Hong Kong Special Administrative Region,15.9,30.8,7.8,East Asia and the Pacific
China Macao Special Administrative Region,27.1,13.3,4.4,East Asia and the Pacific
Fiji,6.9,41.0,4.2,East Asia and the Pacific
Indonesia,24.1,7.8,0.8,East Asia and the Pacific
Lao People's Democratic Republic,18.4,3.2,1.2,East Asia and the Pacific
Malaysia,16.1,26.3,2.3,East Asia and the Pacific
Mongolia,11.5,39.9,8.6,East Asia and the Pacific
Myanmar,25.5,9.5,1.3,East Asia and the Pacific
Papua New Guinea,25.1,3.2,0.4,East Asia and the Pacific
Philippines,22.6,17.0,7.3,East Asia and the Pacific
Republic of Korea,16.3,41.1,10.1,East Asia and the Pacific
Singapore,15.4,21.0,8.1,East Asia and the Pacific
Taiwan,15.6,30.5,5.4,East Asia and the Pacific
Thailand,22.9,8.6,3.9,East Asia and the Pacific
Tonga,14.8,11.4,2.8,East Asia and the Pacific
Viet Nam,35.8,5.1,1.2,East Asia and the Pacific
Albania,12.9,22.4,2.5,Europe and Central Asia
Armenia,8.9,59.6,9.9,Europe and Central Asia
Bulgaria,32.7,20.4,9.1,Europe and Central Asia
Croatia,35.4,21.2,3.9,Europe and Central Asia
Czech Republic,12.2,48.4,3.4,Europe and Central Asia
Estonia,22.2,36.7,12.1,Europe and Central Asia
Hungary,24.8,29.6,7.9,Europe and Central Asia
Kazakhstan,10.6,50.6,7.4,Europe and Central Asia
Kyrgyzstan,20.1,44.7,6.7,Europe and Central Asia
Latvia,16.7,30.4,8.6,Europe and Central Asia
Lithuania,12.3,45.2,7.9,Europe and Central Asia
Poland,34.7,44.7,5.2,Europe and Central Asia
Republic of Moldova,7.3,37.9,6.3,Europe and Central Asia
Romania,2.0,32.7,3.6,Europe and Central Asia
Russian Federation,5.4,25.0,13.0,Europe and Central Asia
Serbia,33.9,17.0,5.5,Europe and Central Asia
Slovakia,27.4,31.5,4.3,Europe and Central Asia
Slovenia,10.3,41.4,7.1,Europe and Central Asia
Tajikistan,7.6,57.6,3.3,Europe and Central Asia
Ukraine,9.5,37.4,16.9,Europe and Central Asia
Argentina,33.9,24.9,5.4,Latin America and the Caribbean
Barbados,8.9,21.6,1.5,Latin America and the Caribbean
Belize,52.9,10.6,3.2,Latin America and the Caribbean
Bolivia,12.1,22.1,3.9,Latin America and the Caribbean
Brazil,34.8,10.9,4.1,Latin America and the Caribbean
Chile,18.2,28.9,6.9,Latin America and the Caribbean
Colombia,18.5,14.4,5.1,Latin America and the Caribbean
Costa Rica,35.3,14.0,11.8,Latin America and the Caribbean
Cuba,13.5,29.0,5.5,Latin America and the Caribbean
Dominican Rep.,15.6,10.8,3.6,Latin America and the Caribbean
Ecuador,24.7,16.3,5.7,Latin America and the Caribbean
El Salvador,12.3,6.9,4.8,Latin America and the Caribbean
Guatemala,13.5,8.6,1.2,Latin America and the Caribbean
Guyana,25.7,23.8,0.5,Latin America and the Caribbean
